country,continent,total_confirmed,total_deaths,total_recovered,active_cases,population
Namibia,Africa,160074,4028,153662,2384,2626590
Nepal,Asia,978998,11952,966904,142,30112649
Netherlands,Europe,8067116,22292,7989151,55673,17205480
New Caledonia,Australia/Oceania,61049,312,60339,398,290610
New Zealand,Australia/Oceania,1043683,923,989005,53755,5002100
Nicaragua,North America,18491,225,4225,14041,6771338
Niger,Africa,9013,310,8579,124,25837472
Nigeria,Africa,255859,3143,249943,2773,215651424
Oman,Asia,389408,4260,384592,556,5348410
Pakistan,Asia,1529249,30376,1494141,4732,228878790
Palau,Australia/Oceania,4879,6,4166,707,18255
Panama,North America,806277,8203,773421,24653,4441253
Papua New Guinea,Australia/Oceania,43876,651,43200,25,9262605
Paraguay,South America,649718,18872,624673,6173,7295705
Philippines,Asia,3687922,60455,3624459,3008,112297269
Poland,Europe,6003436,116207,5335112,552117,37769420
Qatar,Asia,366179,677,364474,1028,2807805
Reunion,Africa,405980,762,395430,9788,907212
Russia,Europe,18260293,377670,17647179,235444,146050996
Rwanda,Africa,129907,1459,45522,82926,13549956
Saint Kitts And Nevis,North America,5605,43,5547,15,53900
Saint Lucia,North America,24267,368,23277,622,185190
Saint Martin,North America,10602,63,1399,9140,39894
Saint Pierre And Miquelon,North America,2739,1,2449,289,5741
Saint Vincent And The Grenadines,North America,6799,106,6641,52,111596
Samoa,Australia/Oceania,11313,24,1605,9684,200869
San Marino,Europe,16852,115,16454,283,34064
Sao Tome And Principe,Africa,5970,73,5891,6,226737
Saudi Arabia,Asia,759226,9116,743921,6189,35823522
Senegal,Africa,86039,1966,84059,14,17565349
Serbia,Europe,2012836,16049,1988209,8578,8671838
Seychelles,Africa,43235,167,42553,515,99481
Singapore,Asia,1240233,1362,1162140,76731,5936034
Sint Maarten,North America,10123,86,9985,52,43783
Slovakia,Europe,1787093,20041,1761664,5388,5464567
Slovenia,Europe,1019468,6622,1003559,9287,2079470
Solomon Islands,Australia/Oceania,18174,146,16357,1671,718243
Somalia,Africa,26518,1350,13182,11986,16718643
South Africa,Africa,3887449,100753,3708347,78349,60701292
South Sudan,Africa,17525,138,13514,3873,11438136
Spain,Europe,12127122,105444,11548089,473589,46788503
Sri Lanka,Asia,663671,16511,646921,239,21580463
State Of Palestine,Asia,582119,5353,576684,82,5322203
Suriname,South America,80008,1337,49455,29216,596421
Swaziland,Africa,71698,1402,69549,747,1182536
Sweden,Europe,2504894,18864,2477725,8305,10216549
Switzerland,Europe,3631881,13882,3551493,66506,8772500
Syria,Asia,55869,3150,52479,240,18292142
Taiwan,Asia,768543,1068,60634,706841,23897056
Tajikistan,Asia,17388,124,17264,0,9936493
Thailand,Asia,4373846,29475,4273599,70772,70126166
Timor Leste,Asia,22889,131,22746,12,1365204
Togo,Africa,37023,273,36727,23,8639966
Tonga,Australia/Oceania,11049,11,10110,928,107926
Trinidad And Tobago,North America,154643,3871,141354,9418,1407928
Turkey,Asia,15053168,98890,14951238,3040,86029250
Turks And Caicos Islands,North America,6046,36,5963,47,39692
Uganda,Africa,164069,3596,100205,60268,48429823
UK,Europe,22159805,176708,21677896,305201,68550166
United Arab Emirates,Asia,902484,2302,886128,14054,10112950
Uruguay,South America,902540,7213,892434,2893,3496151
USA,North America,84209473,1026646,81244260,1938567,334617623
Uzbekistan,Asia,238802,1637,236974,191,34372515
Vanuatu,Australia/Oceania,8457,14,7974,469,320508
Venezuela,South America,522921,5711,516170,1040,28285909
Viet Nam,Asia,10696630,43065,9355040,1298525,98969721
Wallis And Futuna Islands,Australia/Oceania,454,7,438,9,10873
Western Sahara,Africa,10,1,9,0,624681
Yemen,Asia,11819,2149,9009,661,31049015
Zambia,Africa,320591,3983,315997,611,19342381
Zimbabwe,Africa,249206,5482,242417,1307,15265849
